horario,memoria(%),cpu(%),Block-use(bytes),Net-in(bytes),Net-out(bytes),TimeStamp,round
13:21:42,10.0,27.8,40996864,375420317,513147374,1671628902,9
13:22:17,10.2,27.5,42012672,385525703,527161022,1671628937,9
13:03:12,9.7,27.4,15179776,125173637,166921493,1671627792,6
13:12:02,10.0,27.4,26451968,230322877,311232886,1671628322,7
13:30:47,9.8,27.4,57393152,541618944,744686578,1671629447,10
13:35:17,9.7,27.4,48308224,632943574,872807837,1671629717,11
13:33:32,9.7,27.3,44511232,594024826,818705409,1671629612,11
13:37:02,9.7,27.3,52105216,671552515,926469703,1671629822,11
13:24:37,9.6,27.2,46084096,425816397,582952745,1671629077,9
13:31:28,9.8,27.2,40697856,552987616,760513274,1671629488,11
13:34:07,9.8,27.2,45772800,607074403,836868252,1671629647,11
13:35:52,9.8,27,49577984,645856745,890764419,1671629752,11
13:16:52,9.3,26.9,33349632,298263139,405479245,1671628612,8
13:24:02,9.6,26.9,45064192,415862071,569174686,1671629042,9
13:26:02,9.5,26.9,48250880,449206547,615992475,1671629162,10
13:26:42,9.5,26.9,49397760,461030161,632552998,1671629202,10
13:29:03,9.7,26.9,53968896,507422399,697092147,1671629343,10
13:29:38,9.6,26.9,55107584,518922800,713069856,1671629378,10
13:30:13,9.6,26.9,56254464,530354975,728909221,1671629413,10
13:32:12,9.6,26.9,41963520,567935199,781967918,1671629532,11
13:23:27,9.6,26.8,44048384,405727882,555142737,1671629007,9
13:28:27,9.7,26.8,52822016,495798690,680955209,1671629307,10
13:32:52,9.7,26.8,43237376,581007715,800431700,1671629572,11
13:34:42,9.8,26.8,47042560,620072757,854898308,1671629682,11
13:36:27,9.9,26.8,50839552,658659346,908577705,1671629787,11
13:11:27,9.5,26.7,25681920,223264045,301527731,1671628287,7
13:14:32,9.4,26.7,29777920,263476212,357302714,1671628472,8
13:19:58,9.5,26.7,37945344,344843164,470476066,1671628798,9
13:21:07,8.6,26.7,39981056,365251570,499005055,1671628867,9
13:27:17,9.5,26.7,50540544,472683162,648862678,1671629237,10
13:27:52,9.7,26.7,51683328,484291319,664980732,1671629272,10
13:03:42,9.1,26.6,15822848,131118521,175021719,1671627822,6
13:18:37,9.5,26.6,36024320,324060409,441005572,1671628717,8
13:30:12,8.5,26.6,56254464,530353401,728907874,1671629412,10
13:15:07,9.4,26.5,30670848,272209725,369401486,1671628507,8
13:15:42,9.3,26.5,31567872,281009960,381597761,1671628542,8
13:20:32,8.6,26.5,38961152,355127740,484874085,1671628832,9
13:20:33,9.5,26.5,38961152,355135338,484879965,1671628833,9
13:25:17,9.6,26.5,47108096,435782008,596742716,1671629117,10
13:05:12,9.1,26.4,17739776,148411799,198527483,1671627912,6
13:05:42,9.1,26.4,18378752,154144674,206412838,1671627942,6
13:12:37,9.4,26.4,27213824,237417667,320919348,1671628357,7
13:17:27,9.3,26.4,34238464,306849898,417374352,1671628647,8
13:18:02,9.5,26.4,35131392,315435828,429177249,1671628682,8
13:19:17,9.4,26.4,36921344,332611720,452755373,1671628757,9
13:22:52,9.4,26.4,43032576,395560834,541100901,1671628972,9
13:06:42,9.1,26.3,19660800,165560584,221874058,1671628002,6
13:09:07,9.2,26.3,22614016,194499316,262007790,1671628147,7
13:09:42,9.2,26.3,23375872,201830581,272091790,1671628182,7
13:10:53,9.2,26.3,24915968,216134127,291707519,1671628253,7
13:16:17,9.4,26.3,32452608,289600066,393472470,1671628577,8
