,Unnamed: 0,indice,memoria(%),cpu(%),Block-use(bytes),Net-in(bytes),Net-out(bytes),TimeStamp,round
0,272,273,17.9,52.5,18817024,15619310,14856039,1672841074,1
1,273,274,17.9,51.5,18903040,15698056,14932767,1672841075,1
2,271,272,17.5,14.6,18722816,15546325,14787304,1672841073,1
3,117,118,17.1,7.5,8036352,6660887,6334976,1672840918,1
4,105,106,17.0,7.0,6914048,5783460,5491778,1672840906,1
5,115,116,17.1,6.2,7847936,6515795,6195936,1672840916,1
6,143,144,17.0,6.1,10448896,8574788,8162080,1672840944,1
7,373,374,17.7,6.0,26464256,21891058,20820806,1672841175,1
8,119,120,17.1,5.7,8216576,6809471,6475511,1672840920,1
9,539,540,18.0,5.5,38371328,31719630,30170585,1672841341,1
10,131,132,17.1,5.5,9334784,7699538,7322367,1672840932,1
11,336,337,17.8,5.5,23040000,19140790,18201211,1672841138,1
12,239,240,17.1,5.3,16846848,13930407,13255029,1672841040,1
13,129,130,17.1,5.1,9146368,7552507,7182678,1672840930,1
14,421,422,17.7,5.1,29118464,24192739,23005240,1672841223,1
15,332,333,17.8,5.1,22667264,18845126,17919939,1672841134,1
16,385,386,17.6,5.1,27582464,22780188,21669473,1672841187,1
17,205,206,17.1,5.1,14401536,11911450,11330621,1672841006,1
18,93,94,17.0,5.1,5804032,4904576,4653031,1672840894,1
19,125,126,17.1,5.1,8773632,7259421,6903882,1672840926,1
20,264,265,17.1,5.0,18071552,15023339,14288147,1672841065,1
21,53,54,16.7,5.0,3809280,3151250,2992105,1672840854,1
22,133,134,17.1,5.0,9519104,7844308,7462082,1672840934,1
23,512,513,17.9,5.0,35848192,29713980,28253546,1672841314,1
24,498,499,17.9,5.0,34553856,28674666,27262356,1672841300,1
25,209,210,17.1,5.0,14770176,12207119,11612658,1672841010,1
26,95,96,17.0,5.0,5988352,5054402,4794966,1672840896,1
27,431,432,17.7,5.0,30048256,24920684,23699273,1672841233,1
28,525,526,17.9,5.0,37052416,30677162,29173184,1672841327,1
29,541,542,18.1,5.0,38555648,31875495,30318521,1672841343,1
30,377,378,17.6,4.6,26836992,22187358,21102531,1672841179,1
31,123,124,17.1,4.6,8585216,7112899,6765227,1672840924,1
32,214,215,17.0,4.6,15241216,12583751,11972969,1672841015,1
33,449,450,17.7,4.6,31711232,26252764,24972692,1672841251,1
34,425,426,17.7,4.6,29491200,24487205,23287446,1672841227,1
35,57,58,16.8,4.6,4190208,3444440,3272182,1672840858,1
36,121,122,17.1,4.6,8400896,6963447,6623872,1672840922,1
37,302,303,17.8,4.5,21594112,17842861,16977996,1672841104,1
38,187,188,17.0,4.5,12730368,10584290,10062908,1672840988,1
39,281,282,17.8,4.5,19644416,16284138,15491307,1672841083,1
40,127,128,17.1,4.5,8962048,7406159,7041910,1672840928,1
41,340,341,17.7,4.5,23408640,19436170,18482977,1672841142,1
42,295,296,17.8,4.5,20946944,17312721,16470749,1672841097,1
43,111,112,17.1,4.5,7467008,6223732,5913088,1672840912,1
44,276,277,17.9,4.5,19177472,15913107,15138466,1672841078,1
45,149,150,17.0,4.5,11001856,9018821,8587631,1672840950,1
46,188,189,17.0,4.5,12824576,10654852,10129627,1672840989,1
47,270,271,17.2,4.5,18620416,15479819,14724111,1672841071,1
48,268,269,17.2,4.5,18440192,15313518,14566643,1672841069,1
49,259,260,17.1,4.5,17592320,14656014,13933284,1672841060,1
50,254,255,17.1,4.5,17137664,14294088,13591442,1672841055,1
51,179,180,17.0,4.5,11993088,9986855,9495657,1672840980,1
52,193,194,17.0,4.5,13291520,11028948,10487826,1672840994,1
53,103,104,17.0,4.5,6733824,5638305,5352118,1672840904,1
54,359,360,17.7,4.5,25128960,20842244,19823832,1672841161,1
55,599,600,18.2,4.5,42135552,34924617,33204071,1672841401,1
56,492,493,17.8,4.5,33996800,28227849,26839361,1672841294,1
57,388,389,17.6,4.5,27856896,22990220,21867633,1672841190,1
58,589,590,18.2,4.5,41197568,34180549,32502046,1672841391,1
59,587,588,18.1,4.5,41017344,34026341,32355294,1672841389,1
60,549,550,18.1,4.5,39309312,32467168,30881941,1672841351,1
61,534,535,18.0,4.5,37892096,31342957,29808736,1672841336,1
62,16,17,16.0,4.5,372736,418139,385975,1672840817,1
