,Unnamed: 0,indice,memoria(%),cpu(%),Block-use(bytes),Net-in(bytes),Net-out(bytes),TimeStamp,round
0,0,1,27.4,100.0,0,0,0,1670766601,1
1,18,19,27.3,13.1,589824,991420,868646,1670766619,1
2,248,249,29.2,13.1,6422528,11010681,9700219,1670766849,1
3,69,70,27.9,12.9,1892352,3207406,2822867,1670766670,1
4,67,68,27.8,12.1,1695744,2950441,2576991,1670766668,1
5,244,245,29.2,12.0,6033408,10485211,9200245,1670766845,1
6,16,17,27.3,11.3,389120,736753,626728,1670766617,1
7,145,146,28.5,11.2,3739648,6415084,5646316,1670766746,1
8,44,45,27.8,11.1,1245184,2136464,1879327,1670766645,1
9,93,94,28.2,11.0,2342912,4088614,3584237,1670766694,1
10,115,116,28.2,11.0,2600960,4712280,4101402,1670766716,1
11,192,193,28.9,11.0,4640768,8138992,7124680,1670766793,1
12,171,172,28.9,10.9,4390912,7570539,6662766,1670766772,1
13,196,197,29.0,10.3,5033984,8660349,7618270,1670766797,1
14,65,66,27.8,10.2,1495040,2687757,2328084,1670766666,1
15,141,142,28.5,10.2,3346432,5896653,5158597,1670766742,1
16,14,15,27.4,10.1,110592,423081,372717,1670766615,1
17,94,95,28.2,10.0,2445312,4227033,3718290,1670766695,1
18,119,120,28.2,10.0,2994176,5227492,4591376,1670766720,1
19,197,198,29.0,10.0,5132288,8770371,7723701,1670766798,1
20,220,221,29.1,10.0,5484544,9550836,8390209,1670766821,1
21,143,144,28.5,9.2,3534848,6160838,5404600,1670766744,1
22,169,170,28.8,9.2,4202496,7311120,6417820,1670766770,1
23,246,247,29.2,9.2,6225920,10738183,9440468,1670766847,1
24,218,219,29.1,9.1,5292032,9288257,8141324,1670766819,1
25,117,118,28.3,9.0,2801664,4968548,4345360,1670766718,1
26,222,223,29.2,9.0,5681152,9804016,8630354,1670766823,1
27,40,41,27.5,8.4,847872,1619862,1391528,1670766641,1
28,42,43,27.5,8.2,1048576,1872589,1629128,1670766643,1
29,92,93,28.2,8.2,2248704,3973439,3477589,1670766693,1
30,121,122,28.3,8.2,3190784,5455102,4810017,1670766722,1
31,194,195,28.9,8.2,4837376,8393734,7366466,1670766795,1
32,90,91,28.1,8.1,2043904,3695436,3217275,1670766691,1
33,91,92,28.1,8.1,2142208,3831129,3340135,1670766692,1
34,172,173,28.9,8.1,4493312,7686535,6773939,1670766773,1
35,219,220,29.0,8.1,5382144,9406950,8252909,1670766820,1
36,144,145,28.5,7.9,3637248,6276081,5514395,1670766745,1
37,58,59,27.8,7.8,1286144,2377842,2034290,1670766659,1
38,167,168,28.6,7.4,3985408,7052269,6173518,1670766768,1
39,221,222,29.2,7.2,5586944,9664246,8497201,1670766822,1
40,15,16,27.4,7.1,204800,540359,441877,1670766616,1
41,68,69,27.8,7.1,1708032,3016708,2643071,1670766669,1
42,116,117,28.3,7.1,2691072,4829558,4213614,1670766717,1
43,120,121,28.3,7.1,3096576,5343327,4703522,1670766721,1
44,142,143,28.5,7.1,3440640,6012562,5264958,1670766743,1
45,168,169,28.6,7.1,4096000,7170451,6285528,1670766769,1
46,195,196,28.9,7.1,4931584,8514438,7479186,1670766796,1
47,223,224,29.1,7.1,5775360,9924041,8743124,1670766824,1
48,243,244,29.3,7.1,5844992,10291408,9016507,1670766844,1
49,13,14,27.4,7.0,12288,281084,196697,1670766614,1
50,41,42,27.5,7.0,937984,1735107,1498114,1670766642,1
51,95,96,28.2,6.3,2543616,4345878,3829760,1670766696,1
52,43,44,27.6,6.2,1150976,1993535,1740148,1670766644,1
53,170,171,28.9,6.2,4292608,7422387,6524146,1670766771,1
54,64,65,27.8,6.1,1298432,2496276,2149475,1670766665,1
55,146,147,28.5,6.1,3829760,6527912,5752440,1670766747,1
56,193,194,28.9,6.1,4734976,8253264,7232924,1670766794,1
57,247,248,29.2,6.1,6234112,10814116,9513547,1670766848,1
58,39,40,27.5,5.2,745472,1477502,1253860,1670766640,1
59,118,119,28.2,5.2,2891776,5081570,4453459,1670766719,1
60,0,1,29.2,100.0,0,0,0,1670767201,2
61,90,91,29.1,20.6,4120576,6190750,5605790,1670767292,2
62,43,44,29.0,20.0,2428928,3529891,3216106,1670767244,2
63,244,245,30.2,20.0,11554816,17265018,15739228,1670767446,2
64,66,67,28.9,19.0,3178496,4742575,4295215,1670767268,2
65,142,143,29.5,19.0,6705152,10016827,9100696,1670767344,2
66,245,246,30.3,18.4,11792384,17510321,15974524,1670767447,2
67,93,94,29.1,17.8,4710400,6937304,6317476,1670767295,2
68,15,16,29.2,17.3,704512,1095532,970811,1670767216,2
69,219,220,30.1,17.3,10510336,15630869,14213386,1670767421,2
70,119,120,29.3,17.2,5959680,8820861,8035320,1670767321,2
71,170,171,29.8,17.2,8429568,12462535,11359463,1670767372,2
72,218,219,30.1,17.0,10321920,15381164,13974918,1670767420,2
73,42,43,29.0,16.8,2232320,3279668,2976113,1670767243,2
74,67,68,28.9,16.8,3375104,4997992,4537110,1670767269,2
75,168,169,29.7,16.8,8040448,11966107,10877316,1670767370,2
76,38,39,29.1,16.5,1445888,2288299,2029277,1670767239,2
