,Unnamed: 0,indice,memoria(%),cpu(%),Block-use(bytes),Net-in(bytes),Net-out(bytes),TimeStamp,round
0,0,1,26.2,100.0,0,0,0,1670766601,1
1,248,249,27.7,10.8,5939200,3491810,8462304,1670766849,1
2,167,168,27.1,9.2,3678208,2295101,5352223,1670766768,1
3,246,247,27.6,9.2,5754880,3423106,8229236,1670766847,1
4,141,142,26.9,8.9,3092480,1934469,4489348,1670766742,1
5,67,68,26.0,8.2,1564672,956239,2253601,1670766668,1
6,119,120,26.8,8.2,2760704,1679056,3978918,1670766720,1
7,16,17,26.1,8.1,364544,236891,541634,1670766617,1
8,18,19,26.0,8.1,548864,295267,761752,1670766619,1
9,15,16,26.1,8.0,188416,194800,338750,1670766616,1
10,43,44,26.0,8.0,1056768,634143,1515155,1670766644,1
11,171,172,27.1,8.0,4055040,2414648,5800538,1670766772,1
12,196,197,27.2,8.0,4653056,2752755,6641922,1670766797,1
13,221,222,27.4,7.8,5165056,3084457,7391328,1670766822,1
14,40,41,26.0,7.1,778240,546850,1184082,1670766641,1
15,90,91,26.4,7.1,1888256,1218497,2775509,1670766691,1
16,95,96,26.6,7.1,2351104,1370213,3335405,1670766696,1
17,194,195,27.2,7.1,4464640,2685465,6411861,1670766795,1
18,220,221,27.4,7.1,5070848,3059929,7282745,1670766821,1
19,223,224,27.5,7.1,5341184,3147709,7615406,1670766824,1
20,218,219,27.4,7.0,4890624,2995522,7056215,1670766819,1
21,169,170,27.1,6.9,3870720,2353972,5575497,1670766770,1
22,65,66,26.0,6.2,1376256,882822,2016584,1670766666,1
23,69,70,26.0,6.2,1748992,1014222,2474954,1670766670,1
24,14,15,26.1,6.1,135168,169439,314894,1670766615,1
25,42,43,26.0,6.1,966656,602613,1400908,1670766643,1
26,92,93,26.5,6.1,2076672,1284162,3003809,1670766693,1
27,94,95,26.6,6.1,2260992,1338883,3222650,1670766695,1
28,117,118,26.7,6.1,2580480,1617538,3753796,1670766718,1
29,120,121,26.9,6.1,2854912,1706871,4087056,1670766721,1
30,143,144,26.9,6.1,3272704,1996331,4714945,1670766744,1
31,168,169,27.1,6.1,3772416,2323838,5463496,1670766769,1
32,192,193,27.1,6.1,4276224,2632734,6194077,1670766793,1
33,197,198,27.3,6.1,4743168,2775743,6746353,1670766798,1
34,244,245,27.5,6.1,5574656,3366129,8008287,1670766845,1
35,144,145,26.9,6.0,3362816,2022301,4821834,1670766745,1
36,193,194,27.1,6.0,4370432,2657181,6300597,1670766794,1
37,116,117,26.6,5.9,2482176,1587730,3642691,1670766717,1
38,44,45,25.9,5.1,1146880,668323,1628806,1670766645,1
39,91,92,26.4,5.1,1978368,1251337,2889632,1670766692,1
40,145,146,26.9,5.1,3457024,2053616,4934145,1670766746,1
41,146,147,26.9,5.1,3543040,2077595,5039091,1670766747,1
42,172,173,27.1,5.1,4153344,2440311,5907176,1670766773,1
43,195,196,27.2,5.1,4550656,2717737,6525324,1670766796,1
44,219,220,27.3,5.1,4976640,3026614,7171560,1670766820,1
45,13,14,26.2,5.0,4096,131894,114473,1670766614,1
46,38,39,26.0,5.0,585728,482266,960241,1670766639,1
47,64,65,26.0,5.0,1187840,845776,1816313,1670766665,1
48,211,212,27.3,5.0,4784128,2907474,6893822,1670766812,1
49,252,253,27.7,5.0,5980160,3535619,8535027,1670766853,1
50,39,40,26.0,4.1,684032,512680,1070774,1670766640,1
51,93,94,26.5,4.1,2166784,1308539,3111066,1670766694,1
52,170,171,27.1,4.1,3964928,2377511,5680573,1670766771,1
53,222,223,27.4,4.1,5255168,3114419,7499295,1670766823,1
54,243,244,27.5,4.1,5394432,3328933,7806727,1670766844,1
55,41,42,26.0,4.0,864256,572502,1289984,1670766642,1
56,68,69,26.0,4.0,1568768,978758,2274230,1670766669,1
57,118,119,26.7,4.0,2666496,1642855,3860562,1670766719,1
58,151,152,26.9,4.0,3584000,2130550,5122711,1670766752,1
59,155,156,26.9,4.0,3584000,2156372,5145621,1670766756,1
60,93,94,27.6,14.7,4382720,1840385,5645528,1670767295,2
61,67,68,27.5,14.0,3133440,1329699,4054236,1670767269,2
62,194,195,28.1,14.0,8720384,3749381,11285655,1670767396,2
63,220,221,28.3,13.9,9969664,4274489,12892994,1670767422,2
64,245,246,28.3,13.5,11034624,4727659,14255630,1670767447,2
65,16,17,27.6,13.0,831488,348803,1074413,1670767217,2
66,66,67,27.4,13.0,2949120,1275800,3835726,1670767268,2
67,246,247,28.3,12.5,11177984,4792657,14486889,1670767448,2
68,118,119,27.6,12.4,5357568,2287708,6923140,1670767320,2
69,143,144,27.9,12.1,6414336,2757720,8305818,1670767345,2
70,142,143,27.8,12.0,6234112,2701441,8086066,1670767344,2
71,244,245,28.3,12.0,10838016,4679383,14041059,1670767446,2
72,39,40,27.5,11.9,1519616,707243,2019760,1670767241,2
73,117,118,27.6,11.9,5169152,2233221,6704996,1670767319,2
74,144,145,27.9,11.9,6598656,2808140,8521409,1670767346,2
75,193,194,28.0,11.9,8544256,3694835,11066300,1670767395,2
76,38,39,27.5,11.2,1331200,654145,1801237,1670767240,2
77,42,43,27.4,11.2,2072576,860790,2666453,1670767244,2
78,43,44,27.4,11.2,2252800,918035,2888858,1670767245,2
79,91,92,27.5,11.2,4014080,1738581,5214687,1670767293,2
80,218,219,28.2,11.2,9601024,4169152,12458867,1670767420,2
81,115,116,27.6,11.1,4796416,2131013,6275138,1670767317,2
82,219,220,28.2,11.1,9781248,4220197,12675522,1670767421,2
83,243,244,28.3,11.1,10608640,4627516,13825904,1670767445,2
84,65,66,27.4,11.0,2764800,1208946,3604219,1670767267,2
85,170,171,27.9,11.0,7852032,3337792,10125085,1670767372,2
86,192,193,28.0,11.0,8355840,3645531,10852122,1670767394,2
87,196,197,28.1,11.0,9097216,3853656,11718968,1670767398,2
88,221,222,28.3,11.0,10149888,4325616,13106859,1670767423,2
89,169,170,27.9,10.3,7667712,3282892,9905815,1670767371,2
90,15,16,27.6,10.2,651264,296878,857889,1670767216,2
91,17,18,27.6,10.2,1019904,399049,1288748,1670767218,2
92,89,90,27.6,10.2,3641344,1628814,4777528,1670767291,2
93,90,91,27.6,10.2,3825664,1682730,4995693,1670767292,2
94,119,120,27.7,10.2,5541888,2342782,7141986,1670767321,2
95,166,167,27.9,10.2,7098368,3125899,9257611,1670767368,2
96,120,121,27.7,10.1,5722112,2385522,7350697,1670767322,2
97,217,218,28.2,10.1,9408512,4113019,12239370,1670767419,2
98,222,223,28.3,10.1,10346496,4377772,13322128,1670767424,2
99,94,95,27.7,9.4,4562944,1892378,5863124,1670767296,2
100,13,14,27.6,9.3,282624,188831,419888,1670767214,2
101,141,142,27.8,9.3,6045696,2646765,7866910,1670767343,2
102,14,15,27.6,9.2,462848,242449,638426,1670767215,2
103,41,42,27.5,9.2,1888256,808286,2448048,1670767243,2
104,64,65,27.4,9.2,2576384,1161456,3391208,1670767266,2
105,68,69,27.5,9.2,3321856,1381657,4270412,1670767270,2
106,92,93,27.6,9.2,4198400,1789429,5429365,1670767294,2
107,247,248,28.3,9.2,11403264,4848397,14706969,1670767449,2
108,242,243,28.3,9.0,10432512,4572876,13608680,1670767444,2
109,12,13,27.7,8.9,94208,138839,204161,1670767213,2
110,40,41,27.5,8.3,1703936,757971,2234181,1670767242,2
111,116,117,27.6,8.2,4984832,2183075,6490305,1670767318,2
112,145,146,27.9,8.2,6782976,2857962,8734958,1670767347,2
113,167,168,27.9,8.2,7290880,3181317,9475999,1670767369,2
114,168,169,27.9,8.2,7487488,3233437,9691408,1670767370,2
115,171,172,28.0,8.2,8040448,3385393,10335934,1670767373,2
116,191,192,28.0,8.2,8167424,3594336,10636393,1670767393,2
117,195,196,28.1,8.2,8912896,3802413,11503236,1670767397,2
118,63,64,27.4,8.1,2387968,1113058,3176523,1670767265,2
119,18,19,27.5,7.2,1110016,434638,1406630,1670767219,2
120,0,1,27.6,100.0,0,0,0,1670767801,3
121,93,94,27.3,24.8,8278016,2722414,10076495,1670767894,3
122,16,17,27.5,24.5,1298432,456293,1606148,1670767817,3
123,142,143,27.4,24.0,11923456,3990421,14614340,1670767943,3
124,146,147,27.5,22.8,13443072,4362910,16328631,1670767947,3
125,43,44,27.2,22.5,4112384,1337395,4994454,1670767844,3
126,90,91,26.9,22.2,7163904,2434253,8784949,1670767891,3
127,91,92,26.9,22.0,7536640,2533479,9218024,1670767892,3
128,246,247,28.0,22.0,21676032,7148541,26405548,1670768048,3
129,14,15,27.5,21.8,565248,261811,745893,1670767815,3
130,167,168,27.5,21.8,14053376,4688918,17164798,1670767968,3
131,168,169,27.5,21.8,14426112,4783672,17594487,1670767969,3
132,196,197,27.8,21.8,17612800,5754726,21417544,1670767997,3
133,44,45,27.2,21.6,4489216,1431516,5422716,1670767845,3
134,221,222,27.9,21.0,19591168,6440714,23861944,1670768022,3
135,144,145,27.5,20.8,12701696,4178455,15476068,1670767945,3
136,169,170,27.6,20.8,14794752,4872634,18019763,1670767970,3
137,116,117,27.3,20.6,9519104,3200768,11648896,1670767917,3
138,119,120,27.4,20.6,10629120,3491116,12934129,1670767920,3
139,247,248,28.2,20.6,22044672,7246182,26835280,1670768049,3
140,40,41,27.3,20.4,3014656,1046454,3706216,1670767841,3
141,42,43,27.2,20.4,3747840,1234316,4559965,1670767843,3
142,68,69,27.0,20.4,6197248,2036340,7536952,1670767869,3
143,17,18,27.4,20.2,1671168,549725,2032917,1670767818,3
144,39,40,27.4,20.2,2625536,952001,3279248,1670767840,3
145,170,171,27.6,20.2,15167488,4967016,18448275,1670767971,3
146,193,194,27.6,20.2,16498688,5469617,20129735,1670767994,3
147,41,42,27.3,20.0,3375104,1141910,4134185,1670767842,3
148,69,70,26.9,20.0,6561792,2127273,7961193,1670767870,3
149,94,95,27.3,20.0,8642560,2812524,10501972,1670767895,3
150,95,96,27.3,20.0,9015296,2906191,10929341,1670767896,3
151,92,93,27.2,19.8,7901184,2627040,9646551,1670767893,3
152,15,16,27.5,19.6,929792,360576,1177981,1670767816,3
153,67,68,27.0,19.6,5832704,1940182,7106806,1670767868,3
154,120,121,27.4,19.6,10993664,3587373,13362313,1670767921,3
155,143,144,27.5,19.6,12292096,4084617,15047624,1670767944,3
156,195,196,27.8,19.6,17235968,5660104,20988288,1670767996,3
157,18,19,27.4,19.4,2039808,646221,2460015,1670767819,3
158,218,219,27.9,19.4,18489344,6152816,22580974,1670768019,3
159,219,220,27.8,19.4,18853888,6251381,23010146,1670768020,3
160,66,67,27.1,19.2,5451776,1834779,6668919,1670767867,3
161,172,173,27.6,19.2,15810560,5138722,19203639,1670767973,3
162,65,66,27.1,18.8,5087232,1738284,6239441,1670767866,3
163,220,221,27.9,18.6,19222528,6346266,23436305,1670768021,3
164,145,146,27.5,18.4,13070336,4268788,15901924,1670767946,3
165,194,195,27.7,18.4,16826368,5565442,20558760,1670767995,3
166,197,198,27.8,18.4,17977344,5844003,21842273,1670767998,3
167,244,245,28.0,18.4,20942848,6946447,25541133,1670768046,3
168,171,172,27.6,18.2,15532032,5065382,18877619,1670767972,3
169,223,224,28.0,18.2,20332544,6629477,24715784,1670768024,3
170,117,118,27.3,17.5,9887744,3295298,12074034,1670767918,3
171,118,119,27.4,17.5,10252288,3391374,12501740,1670767919,3
172,248,249,28.2,17.5,22417408,7343624,27264395,1670768050,3
173,245,246,28.0,17.3,21307392,7039921,25966254,1670768047,3
174,222,223,28.0,16.8,19968000,6537765,24290489,1670768023,3
175,192,193,27.6,16.0,16130048,5375689,19702952,1670767993,3
176,121,122,27.4,13.4,11272192,3653509,13680357,1670767922,3
177,243,244,28.0,13.4,20566016,6851482,25115073,1670768045,3
178,141,142,27.4,13.3,11505664,3895676,14142513,1670767942,3
179,64,65,27.1,13.1,4710400,1648331,5815098,1670767865,3
180,0,1,28.3,100.0,0,0,0,1670768401,4
181,143,144,28.6,35.1,-45473792,5443176,22165923,1670768544,4
182,18,19,28.0,32.4,3063808,859023,3616979,1670768419,4
183,168,169,28.3,32.4,-42369024,6347707,25871255,1670768569,4
184,65,66,28.1,32.3,7544832,2272601,9095299,1670768466,4
185,243,244,28.1,32.0,-33058816,9068583,37000443,1670768644,4
186,144,145,28.5,31.9,-44920832,5577728,22807502,1670768545,4
