,Unnamed: 0,indice,memoria(%),cpu(%),Block-use(bytes),Net-in(bytes),Net-out(bytes),TimeStamp,round
0,17,18,4.7,3.5,413696,652066,876181,1671639618,1
1,118,119,4.9,3.5,2887680,4014094,5792132,1671639719,1
2,120,121,4.9,3.5,3080192,4195670,6129271,1671639721,1
3,197,198,5.0,3.3,5124096,6859699,10098948,1671639798,1
4,68,69,4.9,3.2,1703936,2390726,3430102,1671639669,1
5,41,42,4.8,3.0,958464,1388504,1939826,1671639642,1
6,195,196,4.9,3.0,4874240,6675442,9717543,1671639796,1
7,39,40,4.8,2.8,757760,1205857,1602505,1671639640,1
8,116,117,4.9,2.8,2691072,3837024,5458925,1671639717,1
9,144,145,4.9,2.8,3530752,4891086,7077199,1671639745,1
10,193,194,4.9,2.8,4632576,6495063,9381440,1671639794,1
11,219,220,5.0,2.8,5378048,7418916,10752308,1671639820,1
12,171,172,4.9,2.7,4374528,5913865,8662887,1671639772,1
13,246,247,5.0,2.7,6115328,8401096,12219857,1671639847,1
14,93,94,4.9,2.5,2338816,3191471,4641561,1671639694,1
15,117,118,4.9,2.5,2789376,3912485,5612904,1671639718,1
16,168,169,4.9,2.5,4075520,5656421,8172659,1671639769,1
17,172,173,4.9,2.5,4485120,6016405,8844869,1671639773,1
18,223,224,5.0,2.5,5763072,7778560,11423836,1671639824,1
19,245,246,5.0,2.5,6025216,8320627,12061886,1671639846,1
20,249,250,5.0,2.5,6414336,8658468,12712798,1671639850,1
21,15,16,4.7,2.3,204800,466637,536946,1671639616,1
22,44,45,4.8,2.3,1245184,1642747,2428596,1671639645,1
23,66,67,4.8,2.3,1503232,2205657,3087544,1671639667,1
24,69,70,4.9,2.3,1794048,2467453,3583958,1671639670,1
25,146,147,4.9,2.3,3731456,5069856,7409759,1671639747,1
26,147,148,4.9,2.3,3825664,5143882,7564399,1671639748,1
27,170,171,4.9,2.3,4276224,5835916,8506729,1671639771,1
28,220,221,5.0,2.3,5468160,7495094,10907410,1671639821,1
29,247,248,5.0,2.3,6217728,8507960,12404612,1671639848,1
30,14,15,4.7,2.0,102400,363476,355153,1671639615,1
31,90,91,4.9,2.0,2035712,2934041,4150336,1671639691,1
32,94,95,4.9,2.0,2445312,3291755,4818447,1671639695,1
33,141,142,4.9,2.0,3235840,4637656,6588065,1671639742,1
34,143,144,4.9,2.0,3436544,4813755,6921784,1671639744,1
35,192,193,4.9,2.0,4534272,6387408,9155685,1671639793,1
36,243,244,5.0,2.0,5820416,8142085,11726099,1671639844,1
37,16,17,4.7,1.8,303104,545837,692765,1671639617,1
38,19,20,4.8,1.8,606208,803306,1182290,1671639620,1
39,65,66,4.8,1.8,1400832,2106678,2910193,1671639666,1
40,70,71,4.9,1.8,1888256,2538933,3736030,1671639671,1
41,91,92,4.9,1.8,2138112,3007663,4304382,1671639692,1
42,92,93,4.9,1.8,2244608,3112915,4485995,1671639693,1
43,145,146,4.9,1.8,3637248,4996544,7258824,1671639746,1
44,169,170,4.9,1.8,4173824,5733476,8327366,1671639770,1
45,196,197,4.9,1.8,4931584,6749446,9828129,1671639797,1
46,221,222,5.0,1.8,5570560,7598301,11087492,1671639822,1
47,244,245,5.0,1.8,5922816,8218438,11881287,1671639845,1
48,18,19,4.7,1.5,507904,726531,1027327,1671639619,1
49,40,41,4.8,1.5,847872,1284219,1758951,1671639641,1
50,43,44,4.8,1.5,1146880,1564521,2272911,1671639644,1
51,121,122,4.9,1.5,3178496,4271682,6283951,1671639722,1
52,142,143,4.9,1.5,3338240,4707929,6737806,1671639743,1
53,166,167,4.9,1.5,3878912,5473551,7833863,1671639767,1
54,167,168,4.9,1.5,3977216,5551393,7988712,1671639768,1
55,211,212,5.0,1.5,5165056,7136217,10318785,1671639812,1
56,225,226,5.0,1.5,5799936,7802463,11478082,1671639826,1
57,268,269,5.0,1.5,6455296,8867673,12940521,1671639869,1
58,13,14,4.7,1.3,8192,281515,194838,1671639614,1
59,42,43,4.8,1.3,1052672,1460379,2090458,1671639643,1
60,67,68,5.0,5.3,3362816,3701837,6094319,1671640268,2
61,171,172,5.1,5.2,8609792,9363278,15536331,1671640373,2
62,64,65,5.0,5.0,2764800,3189112,5106265,1671640265,2
63,65,66,5.0,5.0,2969600,3355025,5430235,1671640266,2
64,195,196,5.2,5.0,9543680,10452891,17274214,1671640397,2
65,243,244,5.2,5.0,11362304,12658821,20776198,1671640445,2
66,15,16,4.9,4.5,692224,821442,1289538,1671640216,2
67,38,39,5.0,4.5,1437696,1738700,2695228,1671640239,2
68,43,44,5.0,4.5,2433024,2590977,4332114,1671640244,2
69,66,67,5.0,4.5,3170304,3526969,5761435,1671640267,2
70,89,90,5.0,4.5,3903488,4436739,7167027,1671640290,2
71,119,120,5.1,4.5,5935104,6525025,10767936,1671640320,2
72,192,193,5.2,4.5,8953856,9941008,16290766,1671640394,2
73,220,221,5.2,4.5,10678272,11743142,19367607,1671640422,2
74,13,14,4.9,4.3,307200,483068,635678,1671640214,2
